feature,normal_mean,anomaly_mean,normal_std,anomaly_std,effect_size,var_ratio,ks_stat,ks_pval,n_normal,n_anomaly
mem_couponservice_74995cd98d_cpwc2,28645171.2,28689568.0,2037.7342711943577,68665.5803150312,0.9139794245020672,33.69702383951412,0.5859375,3.59822384039724e-27,240,128
cpu_productcatalogservice_c4cfd98fb_c8d5f,0.0035660623875988927,0.002732334206796277,0.001026322196600797,0.0007984086947433509,0.9067637905753303,0.777931820424131,0.6041666666666666,4.309528971837567e-11,240,35
cpu_recommendationservice_b5b5bfc56_zzdjk,0.004324963114961607,0.028460124051342968,0.000970168495509314,0.041644908335851924,0.8193802084840504,42.92543875483134,0.4609375,1.467362299938984e-16,240,128
mem_recommendationservice_b5b5bfc56_zzdjk,43684539.733333334,45144928.0,43892.86213112813,3099953.2547082063,0.6661693663277303,70.6254526179501,0.534375,2.076521473127948e-22,240,128
cpu_couponservice_74995cd98d_cpwc2,0.0014774791788085453,0.0016705550764024833,0.00030613562863822066,0.00035872808756236176,0.5789898093558913,1.1717946361163105,0.4140625,2.3510818956676843e-13,240,128
cpu_paymentservice_66c65775b_zpr5q,0.0003222632761339758,0.0004557543244557649,8.878534965844366e-05,0.0003360775176315812,0.5430978347346246,3.785281230793909,0.3125,1.0276526531657327e-07,240,128
cpu_checkoutservice_dcf4c5c7b_n6tmr,0.0004825435886935932,0.0006102468103304118,0.0001533944526255368,0.00030556982461700055,0.528207349479387,1.9920526419749414,0.3333333333333333,9.875086631280062e-09,240,128
mem_inventoryservice_59c54c8d8_msglb,36868096.0,50340704.0,0.0,37187835.274938606,0.5123488585251542,1.0,0.1875,0.004797316003956122,240,128
mem_adservice_64dd5464b8_jlchp,112402875.73333333,112431392.0,65021.545220505344,54291.76055351309,0.4760852316496756,0.8349810877209285,0.4,1.8051219394064954e-12,240,128
node_cpu_pct,3.3352041131359815,3.6475788640332434,0.36071750873937297,0.9605030513558477,0.43056831542034385,2.662756944381744,0.390625,6.72366025433544e-12,240,128
cpu_loadgenerator_5c7cbd94ff_mwhrf,0.0024857108232885007,0.0027492104165414842,0.0004012838478024742,0.0008044371219764462,0.41452387266969515,2.0046586135518165,0.3125,1.0276526531657327e-07,240,128
cpu_cartservice_7956c8c845_s8bw5,0.0028461376077153055,0.003104806854892823,0.0005124027820449597,0.0010514936155566702,0.312741653853907,2.052084126788385,0.359375,4.198013817367588e-10,240,128
cpu_shippingservice_5dcc4d7bd_24vkk,0.000642447746784793,0.0006860629531276116,0.0001058105406649413,0.0001928868434753603,0.28036567537954066,1.8229454481870009,0.296875,5.357320035968903e-07,240,128
cpu_currencyservice_8fdf6cf9d_4fqrt,0.0038400956304634627,0.003536710864246023,0.001050743301037227,0.0011875456430935549,0.2705814143459987,1.1301957784753758,0.30052083333333335,3.673786970606892e-07,240,128
cpu_redis_cart_6899b65948_sdqbf,0.0014241982076153648,0.0014831457170451428,0.00024641592176487384,0.0002786614434179284,0.2241066634472319,1.1308581094196613,0.203125,0.001692483799892929,240,128
mem_paymentservice_66c65775b_zpr5q,38693376.0,38677920.0,97019.24913610356,61241.470916365164,0.19051558185590173,0.6312301060014647,0.221875,0.0004333532554748062,240,128
mem_redis_cart_6899b65948_sdqbf,17327462.4,17343776.0,119666.90905943884,54368.35785638555,0.1755262644571662,0.45433076097403546,0.41770833333333335,1.368075524756427e-13,240,128
cpu_adservice_64dd5464b8_jlchp,0.00118412143840299,0.0012227137379490836,0.0002876765180576731,0.00036259109272580376,0.1179167308852733,1.2604125466129004,0.22552083333333334,0.00032778253077001424,240,128
mem_emailservice_588bb96b8_2v4fw,45232605.86666667,45234176.0,39426.64487520533,35175.55514842658,0.04202531091084414,0.8921772385087684,0.20416666666666666,0.0015741676536820536,240,128
mem_frontend_759775d795_qzdkj,19992576.0,19992576.0,0.0,0.0,0.0,1.0,0.0,1.0,240,95
pod_count_running,14.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,240,128
