window,timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label,phase
51,334.2721494992336,347.8340807174888,336.0,759,11,530.5,726.55,148.66666666666666,0.0,11088.961883408072,266.3542600896861,100.0,100.0,0.0,1,anomaly
52,337.20315259696827,326.69818913480884,327.0,814,6,501.0,650.3600000000001,165.66666666666666,0.0,11252.79879275654,277.72233400402416,100.0,100.0,0.0,1,anomaly
53,340.2636357059048,423.0091324200913,408.5,967,7,663.9000000000001,921.0,146.0,0.0,11312.650684931506,267.8493150684931,100.0,100.0,0.0,1,anomaly
54,343.25783301847787,440.52558139534887,418.0,1182,24,698.0,1070.71,143.33333333333334,0.0,11010.206976744186,277.293023255814,100.0,100.0,0.0,1,anomaly
55,346.16691648143643,680.8068181818181,634.5,1716,142,1111.9,1482.7200000000012,117.33333333333333,0.0,11142.698863636364,274.5681818181818,100.0,100.0,0.0,1,anomaly
56,349.30919757411846,685.8805031446541,613.5,1530,126,1103.3,1381.4299999999996,106.0,0.0,11439.518867924528,268.8050314465409,100.0,100.0,0.0,1,anomaly
57,352.2544661450328,540.7064935064935,499.0,1216,116,868.2,1063.7199999999987,128.33333333333334,0.0,11018.34025974026,278.76363636363635,100.0,100.0,0.0,1,anomaly
58,355.2354777405619,631.3491620111732,435.0,1483,125,1159.3,1390.8600000000001,119.33333333333333,0.0,11076.988826815643,269.4553072625698,100.0,100.0,0.0,1,anomaly
59,357.9544530576597,682.3972602739726,520.0,1652,95,1274.7,1617.4299999999994,97.33333333333333,0.0,11536.085616438357,277.777397260274,69.77054794520548,69.76712328767124,0.0,1,anomaly
60,359.8359051899108,73.2,101.0,118,14,116.8,117.88,1.6666666666666667,0.0,17432.2,173.0,4.2,4.2,0.0,1,anomaly
